image_path,name
data/images/subset/Iron_Core_Armor_8163.jpg,Iron Core Armor
data/images/subset/Star_Seraph_Sage_4255.jpg,Star Seraph Sage
data/images/subset/Dicephoon_7636.jpg,Dicephoon
data/images/subset/Mikanko_Fire_Dance_8391.jpg,Mikanko Fire Dance
data/images/subset/Numeron_Storm_8518.jpg,Numeron Storm
data/images/subset/Dynatherium_1365.jpg,Dynatherium
data/images/subset/Reinforcement_of_the_Army_8766.jpg,Reinforcement of the Army
data/images/subset/Toon_World_9291.jpg,Toon World
data/images/subset/Elemental_HERO_Rampart_Blaster_5627.jpg,Elemental HERO Rampart Blaster
data/images/subset/Avatar_of_The_Pot_324.jpg,Avatar of The Pot
data/images/subset/Guardian_of_Felgrand_2138.jpg,Guardian of Felgrand
"data/images/subset/Simorgh,_Bird_of_Sovereignty_6188.jpg","Simorgh, Bird of Sovereignty"
data/images/subset/Evilswarm_Bahamut_11996.jpg,Evilswarm Bahamut
data/images/subset/Woodborg_Inpachi_6933.jpg,Woodborg Inpachi
"data/images/subset/Gaia,_the_Polar_Knight_1761.jpg","Gaia, the Polar Knight"
data/images/subset/Elemental_HERO_Sparkman_6447.jpg,Elemental HERO Sparkman
data/images/subset/Evoltile_Phoris_1520.jpg,Evoltile Phoris
data/images/subset/Thunder_Dragon_4623.jpg,Thunder Dragon
data/images/subset/Darton_the_Mechanical_Monstrosity_1093.jpg,Darton the Mechanical Monstrosity
data/images/subset/Bubble_Barrier_7358.jpg,Bubble Barrier
"data/images/subset/Wollow,_Founder_of_the_Drudge_Dragons_12387.jpg","Wollow, Founder of the Drudge Dragons"
data/images/subset/Qliphort_Carrier_5407.jpg,Qliphort Carrier
data/images/subset/The_Drdek_6850.jpg,The Drdek
data/images/subset/Dark_Plant_6408.jpg,Dark Plant
data/images/subset/Floowandereeze_and_the_Scary_Sea_10690.jpg,Floowandereeze and the Scary Sea
data/images/subset/Boo-Boo_Game_10253.jpg,Boo-Boo Game
data/images/subset/Degrade_Buster_1120.jpg,Degrade Buster
data/images/subset/Tyrant_Dino_Fusion_9348.jpg,Tyrant Dino Fusion
data/images/subset/Card_of_Safe_Return_7392.jpg,Card of Safe Return
data/images/subset/Mudan_the_Rikka_Fairy_3176.jpg,Mudan the Rikka Fairy
data/images/subset/Vampire's_Domain_9388.jpg,Vampire's Domain
"data/images/subset/Ryko,_Twilightsworn_Fighter_3868.jpg","Ryko, Twilightsworn Fighter"
data/images/subset/Uminotaurus_4809.jpg,Uminotaurus
data/images/subset/Bachibachibachi_348.jpg,Bachibachibachi
data/images/subset/General_Gantala_of_the_Ice_Barrier_1837.jpg,General Gantala of the Ice Barrier
data/images/subset/Wing_Eagle_6920.jpg,Wing Eagle
"data/images/subset/Rex,_Freight_Fur_Hire_3807.jpg","Rex, Freight Fur Hire"
data/images/subset/Odd-Eyes_Pendulum_Dragon_5332.jpg,Odd-Eyes Pendulum Dragon
data/images/subset/Successor_Soul_9104.jpg,Successor Soul
"data/images/subset/Recon,_Scout_Fur_Hire_3723.jpg","Recon, Scout Fur Hire"
