id,name,type,frameType,race,attribute,level,atk,def,archetype,desc,image_url
80181649,"""A Case for K9""",Spell Card,spell,Continuous,,,,,K9,"When this card is activated: You can add 1 ""K9"" monster from your Deck to your hand. ""K9"" monsters you control gain 900 ATK during any turn in which your opponent has activated a monster effect in the hand or GY. If this card in the Spell & Trap Zone is destroyed by card effect: You can Set 1 ""K9"" Quick-Play Spell from your Deck or GY. You can only use this effect of """"A Case for K9"""" once per turn. You can only activate 1 """"A Case for K9"""" per turn.",https://images.ygoprodeck.com/images/cards/80181649.jpg
34541863,"""A"" Cell Breeding Device",Spell Card,spell,Continuous,,,,,Alien,"During each of your Standby Phases, put 1 A-Counter on 1 face-up monster your opponent controls.",https://images.ygoprodeck.com/images/cards/34541863.jpg
64163367,"""A"" Cell Incubator",Spell Card,spell,Continuous,,,,,Alien,"Each time an A-Counter(s) is removed from play by a card effect, place 1 A-Counter on this card. When this card is destroyed, distribute the A-Counters on this card among face-up monsters.",https://images.ygoprodeck.com/images/cards/64163367.jpg
91231901,"""A"" Cell Recombination Device",Spell Card,spell,Quick-Play,,,,,Alien,"Target 1 face-up monster on the field; send 1 ""Alien"" monster from your Deck to the Graveyard, and if you do, place A-Counters on that monster equal to the Level of the sent monster. During your Main Phase, except the turn this card was sent to the Graveyard: You can banish this card from your Graveyard; add 1 ""Alien"" monster from your Deck to your hand.",https://images.ygoprodeck.com/images/cards/91231901.jpg
73262676,"""A"" Cell Scatter Burst",Spell Card,spell,Quick-Play,,,,,Alien,"Select 1 face-up ""Alien"" monster you control. Destroy it and distribute new A-Counters equal to its Level among your opponent's face-up monsters.",https://images.ygoprodeck.com/images/cards/73262676.jpg
98319530,"""Infernoble Arms - Almace""",Spell Card,spell,Equip,,,,,Infernoble Arms,"While this card is equipped to a monster: You can equip 1 ""Infernoble Arms"" Equip Spell from your Deck or GY, except """"Infernoble Arms - Almace"""", to 1 appropriate monster you control, then destroy this card. If this card is sent to the GY because the equipped monster is sent to the GY: You can target 1 of your FIRE Warrior monsters that is banished or in your GY; add it to your hand. You can only use 1 """"Infernoble Arms - Almace"""" effect per turn, and only once that turn.",https://images.ygoprodeck.com/images/cards/98319530.jpg
37478723,"""Infernoble Arms - Durendal""",Spell Card,spell,Equip,,,,,Noble Knight,"While this card is equipped to a monster: You can add 1 Level 5 or lower FIRE Warrior monster from your Deck to your hand, then destroy this card. If this card is sent to the GY because the equipped monster is sent to the GY: You can target 1 Level 5 or lower FIRE Warrior monster in your GY; Special Summon it, also you cannot Special Summon monsters for the rest of the turn, except Warrior monsters. You can only use 1 """"Infernoble Arms - Durendal"""" effect per turn, and only once that turn.",https://images.ygoprodeck.com/images/cards/37478723.jpg
64867422,"""Infernoble Arms - Hauteclere""",Spell Card,spell,Equip,,,,,Noble Knight,"While this card is equipped to a monster: You can target 1 face-up monster you control; this turn, you cannot declare attacks, except with that monster, also it gains the ability this turn to make a second attack during each Battle Phase, then destroy this card. If this card is sent to the GY because the equipped monster is sent to the GY: You can target 1 face-up monster on the field; destroy it. You can only use 1 """"Infernoble Arms - Hauteclere"""" effect per turn, and only once that turn.",https://images.ygoprodeck.com/images/cards/64867422.jpg
90861137,"""Infernoble Arms - Joyeuse""",Spell Card,spell,Equip,,,,,Noble Knight,"While this card is equipped to a monster: You can target 1 FIRE Warrior monster in your GY; add it to your hand, then destroy this card. If this card is sent to the GY because the equipped monster is sent to the GY: You can Special Summon 1 FIRE Warrior monster from your hand. You can only use 1 """"Infernoble Arms - Joyeuse"""" effect per turn, and only once that turn.",https://images.ygoprodeck.com/images/cards/90861137.jpg
44256816,1st Movement Solo,Spell Card,spell,Normal,,,,,Melodious,"If you control no monsters: Special Summon 1 Level 4 or lower ""Melodious"" monster from your hand or Deck. You can only activate 1 ""1st Movement Solo"" per turn. You cannot Special Summon monsters during the turn you activate this card, except ""Melodious"" monsters.",https://images.ygoprodeck.com/images/cards/44256816.jpg
